"DateTimeTaggedUTC","Site","Species","BandNumber","FieldReadableCode","FdReadBkGrdColour","FdReadCodeColour","BiologgerID","NestID","clutchSizeOnTagDate","NestTreatment2022","NestTreatment2023","nestRelativeToColony","TotalHead","Culmen","BillDepth","Wing","Tarsus","Mass","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","Bander","BandAssistants","Comments","Latitude","Longitude","Score","Sex"
2022-05-17 20:50:00,"Country Island","Herring Gull",117661801,"EHK","pink","white",NA,"Green fish tote",3,NA,NA,NA,120.3,57.3,19.1,435,65.1,1000,3,0,0,0,0,0,0,0,0,0,"Karel Allard","Megan Boucher, Sarah Gutowsky, Doug Hynes","Green tote bird. Weight taken with string.  18:04 released.",NA,NA,-10.2761,"Female"
2022-05-17 21:12:00,"Country Island","Herring Gull",117661802,"EHT","pink","white",NA,"Foundation",3,NA,NA,NA,132.4,64.8,21.1,470,76,1150,1,2,0,0,0,0,0,0,0,0,"Karel Allard","Megan Boucher, Doug Hynes","Nest near old foundation on beach",NA,NA,11.0631,"Male"
2022-05-17 21:20:00,"Country Island","Herring Gull",117661803,"EHR","pink","white",NA,"Beach landing",3,NA,NA,NA,120.3,53.5,17.7,440,68.1,1000,0,0,0,0,0,0,0,0,0,0,"Sarah Gutowsky","Megan Boucher","Nest on beach near landing site",NA,NA,-13.6463,"Female"
2022-05-18 12:00:00,"Country Island","Herring Gull",117661805,"EMN","pink","white","LAR15","0008",3,"Destroyed",NA,"outside",119.3,54.9,20.2,418,70.1,920,0,0,0,0,0,0,0,0,0,0,"Karel Allard","Doug Hynes","garmin wypt 0008; stake: 13 May 2022 Lar15",45.1029150187969,-61.5451919753104,-10.2978,"Female"
2022-05-18 14:39:00,"Country Island","Herring Gull",117661807,"EMZ","pink","white","LAR10","0010",3,"Intact",NA,"inside",137.2,64.3,22.6,458,75.4,1301,0,0,0,0,0,0,0,0,0,0,"Karel Allard","Doug Hynes","waypoint 0010; bird weighed with logger",45.101377023384,-61.5432259999216,18.0522,"Male"
2022-05-18 16:50:00,"Country Island","Herring Gull",117661810,"EMC","pink","white","LAR14","0014",3,"Destroyed",NA,"inside",123,59.2,19.6,452,66,1050,1,3,3,0,0,0,0,0,0,0,"Karel Allard","Doug Hynes",NA,45.1008900348097,-61.5439579915255,-4.10919999999999,"Female"
2022-05-18 17:11:48,"Country Island","Herring Gull",117661812,"EMX","pink","white","LAR01","0015",1,"Intact",NA,"inside",119.1,55.7,20,418,68.2,1110,1,0,0,0,0,0,0,0,0,0,"Karel Allard","Doug Hynes",NA,45.1010280009359,-61.5438160020858,-11.0548,"Female"
2022-05-18 18:20:50,"Country Island","Herring Gull",117661813,"EMK","pink","white","LAR12","0016",3,"Intact",NA,"inside",122.7,57.4,19.9,438,64.4,940,0,0,0,0,0,0,0,0,0,0,"Karel Allard","Doug Hynes",NA,45.101163033396,-61.5435089729726,-5.41289999999998,"Female"
2022-05-18 20:10:00,"Country Island","Herring Gull",117661814,"EMA","pink","white","LAR07","0018",3,"Intact",NA,"inside",120.1,55,20.4,419,61.5,961,1,0,0,0,0,0,0,0,0,0,"Sarah Gutowsky","Doug Hynes","Bird mass includes logger",45.1010639593005,-61.5436239726841,-8.86960000000002,"Female"
2022-05-18 21:56:00,"Country Island","Herring Gull",117661816,"EMM","pink","white","LAR06","0020",3,"Intact",NA,"outside",121,54.9,19.1,427,68,930,0,0,0,0,0,0,0,0,0,0,"Karel Allard","Doug Hynes",NA,45.103013003245,-61.5446560364217,-10.7397,"Female"
