ObjectID,GlobalID,Date and time gull tagged,Site,Lead tagger,Assistants,Species,Band,Code,Background colour,Code colour,GPS ID,Nest ID,Nest longitude,Nest latitude,Clutch size,Nest treatment,Head,Culmen,Bill Depth,Wing,Tarsus,Weight,Bag Weight,Bird Mass,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,Notes,CreationDate,Creator,EditDate,Editor,Nest relative to colony,Clutch Status,GSM ID,Clutch size 18 May,Clutch size 13 May,Clutch size on 10-May,Clutch size 23-May,Bird Weight,x,y
1,b298d6fe-d9a2-4f19-8258-627402a29387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/17/2022 8:03:13 PM,douglas.hynes@canada.ca,5/17/2022 8:03:13 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
2,e797fffa-dae2-41a7-a817-dab7b7b93032,5/17/2022 8:50:00 PM,1,1,"2,3,4",1,1176-61801,EHK,pink,white,,Green fish tote,-61.545197,45.103377,3,1,120.3,57.3,19.1,43.5,65.1,1000,,1000,3,0,0,0,0,0,0,0,0,0,Green tote bird. Weight taken with string.  18:04 released.,5/18/2022 11:38:20 AM,douglas.hynes@canada.ca,5/18/2022 11:38:20 AM,douglas.hynes@canada.ca,,,,,,,,,0,0
3,dd4fe48a-664d-4f7c-b1f4-40e4c76c5224,5/17/2022 9:12:00 PM,1,1,"2,4",1,1176-61802,EHT,pink,white,,Foundation,-61.544637,45.103705,3,1,132.4,64.8,21.1,470,76,,,1150,1,2,0,0,0,0,0,0,0,0,Nest near old foundation on beach,5/18/2022 11:38:23 AM,douglas.hynes@canada.ca,5/18/2022 11:38:23 AM,douglas.hynes@canada.ca,,,,,,,,,0,0
4,84376241-4138-40a4-8da6-8b6527112f7c,5/17/2022 9:20:00 PM,1,3,2,1,1176-61803,EHR,pink,white,,Beach landing,-61.545165,45.103479,3,1,120.3,53.5,17.7,440,68.1,1000,,1000,0,0,0,0,0,0,0,0,0,0,Nest on beach near landing site,5/18/2022 11:38:26 AM,douglas.hynes@canada.ca,5/18/2022 11:38:26 AM,douglas.hynes@canada.ca,,,,,,,,,0,0
5,c3f603f8-95ff-4265-bcac-7f5cc85b08f0,5/18/2022 12:00:00 PM,1,1,4,1,1176-61805,EMN,pink,white,Lar15,0008,-61.545192,45.102915,3,1,119.3,54.9,20.2,418,70.1,,,920,0,0,0,0,0,0,0,0,0,0,garmin wypt 0008; stake: 13 May 2022 Lar15,5/18/2022 12:28:05 PM,douglas.hynes@canada.ca,5/18/2022 3:13:34 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
6,85934d23-a6fc-4637-8b6a-ffd7b9d399c6,5/18/2022 2:39:00 PM,1,1,4,1,1176-61807,EMZ,pink,white,Lar10,0010,,,3,1,137.2,64.3,22.6,458,75.4,,,1320,0,0,0,0,0,0,0,0,0,0,waypoint 0010; bird weighed with logger,5/18/2022 3:13:49 PM,douglas.hynes@canada.ca,5/18/2022 3:13:49 PM,douglas.hynes@canada.ca,,,,,,,,,-61.5436283,45.101814
7,812ce3b9-3290-4bd3-8cb3-cfa77d094c88,5/18/2022 4:50:00 PM,1,1,4,1,1176-61810,EMC,pink,white,LAR14,0014,,,3,1,123,59.2,19.6,452,66,,,1050,1,3,3,0,0,0,0,0,0,0,,5/18/2022 4:58:02 PM,douglas.hynes@canada.ca,5/18/2022 5:05:31 PM,douglas.hynes@canada.ca,,,,,,,,,-61.5436852,45.1018377
8,71573744-83c7-448d-9a01-6f14d98288c7,5/18/2022 5:11:48 PM,1,1,4,1,1176-61812,EMX,pink,white,LAR01,0015,,,1,,119.1,55.7,20,418,68.2,,,1110,1,0,0,0,0,0,0,0,0,0,,5/18/2022 5:18:49 PM,douglas.hynes@canada.ca,5/18/2022 5:18:49 PM,douglas.hynes@canada.ca,,,,,,,,,-61.5437657,45.1019219
9,8cbdce31-a766-4fba-8b30-b1abbc6ec332,5/18/2022 6:20:50 PM,1,1,4,1,1176-61813,EMK,pink,white,LAR12,0016,,,3,1,122.7,57.4,19.9,438,64.4,,,940,0,0,0,0,0,0,0,0,0,0,,5/18/2022 6:27:12 PM,douglas.hynes@canada.ca,5/18/2022 6:27:12 PM,douglas.hynes@canada.ca,,,,,,,,,-61.5436727,45.1017819
10,62a454b4-9bf6-4889-b2dc-94bc50be1df6,5/18/2022 8:10:00 PM,1,3,4,1,1176-61814,EMA,pink,white,LAR07,0018,,,3,1,120.1,55,20.4,419,61.5,,,980,1,0,0,0,0,0,0,0,0,0,Bird mass includes logger,5/18/2022 8:15:54 PM,douglas.hynes@canada.ca,5/18/2022 8:21:29 PM,douglas.hynes@canada.ca,,,,,,,,,-61.5436918,45.101875
11,3ed95d11-3c70-44ee-a267-b36eb27ed993,5/18/2022 9:56:00 PM,1,1,4,1,1176-61816,EMM,pink,white,LAR06,0020,,,3,1,121,54.9,19.1,427,68,,,930,0,0,0,0,0,0,0,0,0,0,,5/18/2022 10:04:31 PM,douglas.hynes@canada.ca,5/18/2022 10:04:31 PM,douglas.hynes@canada.ca,,,,,,,,,-61.5436332,45.1019089
12,3cb5ae1c-961d-49cd-8645-aecaa0dcfebf,5/18/2022 10:25:50 PM,1,4,"2,3,1",1,1176-61819,emf,pink,white,,0022,,,3,,120,53.7,20,440,67.1,,,900,2,0,0,0,0,0,0,0,0,0,,5/18/2022 10:36:06 PM,douglas.hynes@canada.ca,5/18/2022 10:36:06 PM,douglas.hynes@canada.ca,,,,,,,,,-61.5437312,45.1018688
13,9c65bc0f-dded-4891-8d94-ff931d8016fb,5/18/2022 12:01:00 PM,,3,"2,4",1,1176-61804,EMT,pink,white,LAR11,0007,-61.545039,45.102726,3,,112.8,52.5,18.5,430,60.3,800,,800,0,0,0,0,0,0,0,0,0,0,,5/19/2022 7:50:15 PM,douglas.hynes@canada.ca,5/19/2022 7:50:15 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
14,08103aa0-b54e-4b36-b2d7-fd210d800865,5/18/2022 1:23:00 PM,1,3,2,1,1176-61806,EMU,pink,white,LAR05,0009,,,3,,132.9,58.5,21.1,446,71.8,1140,,1140,2,2,0,0,0,0,0,0,0,0,,5/19/2022 7:50:37 PM,douglas.hynes@canada.ca,5/19/2022 7:50:37 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
15,0a3630d4-6c8c-4019-b3e3-ba03fca20c6c,5/18/2022 2:41:40 PM,1,3,2,1,1176-61808,EML,pink,white,LAR02,C166,,,3,,128.6,56.5,21.4,455,74.9,1150,,,"3,1",0,0,0,0,0,0,0,0,0,Bird measured with gsm logger ,5/19/2022 7:50:54 PM,douglas.hynes@canada.ca,5/19/2022 7:50:54 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
16,43531775-07b0-45ca-9e92-8ba3aa07e24a,5/18/2022 3:02:35 PM,1,1,"2,3",1,1176-61809,EMJ,pink,white,LAR03,0012,,,3,,121.2,56.3,19.6,434,69.7,1010,,1010,1,0,0,0,0,0,0,0,0,0,,5/19/2022 7:51:08 PM,douglas.hynes@canada.ca,5/19/2022 7:51:08 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
17,aa6dac8d-b275-4798-a7b9-5f071432c53e,5/18/2022 4:49:56 PM,1,3,2,1,1176-61811,EMY,pink,white,LAR04,0013,,,3,2,130,59.3,20.9,463,72.6,1250,,1250,1,2,0,0,0,0,0,0,0,0,One broken egg,5/19/2022 7:51:17 PM,douglas.hynes@canada.ca,5/19/2022 7:51:17 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
18,7ac7fa49-6166-4a5b-a42c-c65e699d8723,5/18/2022 6:19:00 PM,1,3,2,2,2017-00101,ARF,green,white,,0017,,,3,1,140.4,61.9,24.8,481,80.2,,,1620,1,1,0,0,0,0,,0,0,0,,5/19/2022 7:51:22 PM,douglas.hynes@canada.ca,5/19/2022 7:51:22 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
19,093af2c5-c42b-4709-81bc-f8cb01913809,5/18/2022 8:54:00 PM,1,4,"2,3",1,1176-61815,EMV,pink,white,LAR08,0019,,,3,,120,57.3,19.3,415,66.9,920,,920,0,0,0,0,0,0,0,0,0,0,Cracked eggs. Good candidate for destroyed nest since eggs were cracked. ,5/19/2022 7:52:31 PM,douglas.hynes@canada.ca,5/19/2022 7:52:31 PM,douglas.hynes@canada.ca,,,,,,,,,0,0
